problema,personas_que_lo_resolvieron,link
Counting Bits,3961,https://cses.fi/problemset/task/1146
Advertisement,3889,https://cses.fi/problemset/task/1142
School Dance,3865,https://cses.fi/problemset/task/1696
Distinct Values Subarrays,3663,https://cses.fi/problemset/task/3420
Planets Queries II,3553,https://cses.fi/problemset/task/1160
Stick Divisions,3492,https://cses.fi/problemset/task/1161
Police Chase,3487,https://cses.fi/problemset/task/1695
Nim Game II,3381,https://cses.fi/problemset/task/1098
Throwing Dice,3377,https://cses.fi/problemset/task/1096
Stick Game,3228,https://cses.fi/problemset/task/1729
Path Queries II,3213,https://cses.fi/problemset/task/2134
Graph Paths I,3208,https://cses.fi/problemset/task/1723
Increasing Subsequence II,3138,https://cses.fi/problemset/task/1748
Convex Hull,3087,https://cses.fi/problemset/task/2195
De Bruijn Sequence,3048,https://cses.fi/problemset/task/1692
Hamming Distance,3016,https://cses.fi/problemset/task/2136
Graph Girth,3008,https://cses.fi/problemset/task/1707
Dice Probability,2912,https://cses.fi/problemset/task/1725
Range Queries and Copies,2841,https://cses.fi/problemset/task/1737
Shortest Subsequence,2766,https://cses.fi/problemset/task/1087
Graph Paths II,2678,https://cses.fi/problemset/task/1724
Distinct Routes,2636,https://cses.fi/problemset/task/1711
Minimal Rotation,2633,https://cses.fi/problemset/task/1110
Distinct Values Subsequences,2556,https://cses.fi/problemset/task/3421
Point in Polygon,2515,https://cses.fi/problemset/task/2192
Knight's Tour,2471,https://cses.fi/problemset/task/1689
Maximum Xor Subarray,2448,https://cses.fi/problemset/task/1655
Sliding Window Sum,2419,https://cses.fi/problemset/task/3220
Knight Moves Grid,2414,https://cses.fi/problemset/task/3217
Increasing Array Queries,2392,https://cses.fi/problemset/task/2416
Mex Grid Construction,2369,https://cses.fi/problemset/task/3419
Stair Game,2290,https://cses.fi/problemset/task/1099
Polygon Lattice Points,2145,https://cses.fi/problemset/task/2193
Corner Subgrid Count,2116,https://cses.fi/problemset/task/2137
Bit Inversions,2116,https://cses.fi/problemset/task/1188
Minimal Grid Path,2106,https://cses.fi/problemset/task/3359
Reachable Nodes,2085,https://cses.fi/problemset/task/2138
String Reorder,2043,https://cses.fi/problemset/task/1743
Counting Necklaces,2000,https://cses.fi/problemset/task/2209
Acyclic Graph Edges,1999,https://cses.fi/problemset/task/1756
Grid Coloring I,1962,https://cses.fi/problemset/task/3311
Palindrome Queries,1898,https://cses.fi/problemset/task/2420
Maximum Building I,1895,https://cses.fi/problemset/task/1147
Sliding Window Xor,1886,https://cses.fi/problemset/task/3426
Sliding Window Minimum,1883,https://cses.fi/problemset/task/3221
Minimum Euclidean Distance,1864,https://cses.fi/problemset/task/2194
Swap Game,1864,https://cses.fi/problemset/task/1670
Intersection Points,1804,https://cses.fi/problemset/task/1740
Necessary Roads,1781,https://cses.fi/problemset/task/2076
Another Game,1774,https://cses.fi/problemset/task/2208
Finding Patterns,1736,https://cses.fi/problemset/task/2102
SOS Bit Problem,1722,https://cses.fi/problemset/task/1654
Xor Pyramid Peak,1700,https://cses.fi/problemset/task/2419
Repeating Substring,1686,https://cses.fi/problemset/task/2106
Necessary Cities,1653,https://cses.fi/problemset/task/2077
Counting Patterns,1639,https://cses.fi/problemset/task/2103
Course Schedule II,1637,https://cses.fi/problemset/task/1757
Counting Grids,1626,https://cses.fi/problemset/task/2210
Grundy's Game,1559,https://cses.fi/problemset/task/2207
Sliding Window Distinct Values,1544,https://cses.fi/problemset/task/3222
Required Substring,1495,https://cses.fi/problemset/task/1112
Moving Robots,1490,https://cses.fi/problemset/task/1726
String Functions,1488,https://cses.fi/problemset/task/2107
Mountain Range,1460,https://cses.fi/problemset/task/3314
Empty String,1435,https://cses.fi/problemset/task/1080
Reachability Queries,1395,https://cses.fi/problemset/task/2143
Cut and Paste,1390,https://cses.fi/problemset/task/2072
Pattern Positions,1372,https://cses.fi/problemset/task/2104
Strongly Connected Edges,1372,https://cses.fi/problemset/task/2177
Prüfer Code,1342,https://cses.fi/problemset/task/1134
Coding Company,1305,https://cses.fi/problemset/task/1665
Subarray Squares,1243,https://cses.fi/problemset/task/2086
School Excursion,1230,https://cses.fi/problemset/task/1706
Reversals and Sums,1222,https://cses.fi/problemset/task/2074
Substring Reversals,1215,https://cses.fi/problemset/task/2073
Inverse Inversions,1209,https://cses.fi/problemset/task/2214
Even Outdegree Edges,1197,https://cses.fi/problemset/task/2179
Candy Lottery,1165,https://cses.fi/problemset/task/1727
Sliding Window Mode,1110,https://cses.fi/problemset/task/3224
Movie Festival Queries,1105,https://cses.fi/problemset/task/1664
Hidden Integer,1090,https://cses.fi/problemset/task/3112
Substring Order I,1067,https://cses.fi/problemset/task/2108
Monster Game I,1061,https://cses.fi/problemset/task/2084
Tree Traversals,1052,https://cses.fi/problemset/task/1702
Chess Tournament,1044,https://cses.fi/problemset/task/1697
Cyclic Array,1044,https://cses.fi/problemset/task/1191
Book Shop II,1043,https://cses.fi/problemset/task/1159
Area of Rectangles,1015,https://cses.fi/problemset/task/1741
Tree Isomorphism I,1014,https://cses.fi/problemset/task/1700
Next Prime,997,https://cses.fi/problemset/task/3396
Sliding Window Mex,994,https://cses.fi/problemset/task/3219
Substring Distribution,988,https://cses.fi/problemset/task/2110
Distinct Subsequences,959,https://cses.fi/problemset/task/1149
Monster Game II,943,https://cses.fi/problemset/task/2085
Permutation Inversions,912,https://cses.fi/problemset/task/2229
Apples and Bananas,905,https://cses.fi/problemset/task/2111
Subarray Sum Queries II,893,https://cses.fi/problemset/task/3226
Special Substrings,889,https://cses.fi/problemset/task/2186
Dynamic Connectivity,887,https://cses.fi/problemset/task/2133
Network Breakdown,883,https://cses.fi/problemset/task/1677
Network Renovation,854,https://cses.fi/problemset/task/1704
Knuth Division,839,https://cses.fi/problemset/task/2088
Visible Buildings Queries,826,https://cses.fi/problemset/task/3304
Tree Isomorphism II,808,https://cses.fi/problemset/task/1701
Counting Permutations,796,https://cses.fi/problemset/task/1075
Sliding Window Or,795,https://cses.fi/problemset/task/3405
Task Assignment,784,https://cses.fi/problemset/task/2129
Mex Grid Queries,771,https://cses.fi/problemset/task/1157
One Bit Positions,752,https://cses.fi/problemset/task/2112
Coin Grid,752,https://cses.fi/problemset/task/1709
Monotone Subsequences,735,https://cses.fi/problemset/task/2215
Eulerian Subgraphs,732,https://cses.fi/problemset/task/2078
Increasing Array II,728,https://cses.fi/problemset/task/2132
Forbidden Cities,723,https://cses.fi/problemset/task/1705
Sorting Methods,714,https://cses.fi/problemset/task/1162
Substring Order II,707,https://cses.fi/problemset/task/2109
Houses and Schools,696,https://cses.fi/problemset/task/2087
Signal Processing,694,https://cses.fi/problemset/task/2113
Grid Paths II,686,https://cses.fi/problemset/task/1078
Writing Numbers,681,https://cses.fi/problemset/task/1086
Parcel Delivery,675,https://cses.fi/problemset/task/2121
Range Interval Queries,662,https://cses.fi/problemset/task/3163
Pyramid Array,649,https://cses.fi/problemset/task/1747
Visiting Cities,610,https://cses.fi/problemset/task/1203
Sliding Window Inversions,594,https://cses.fi/problemset/task/3223
Counting Sequences,578,https://cses.fi/problemset/task/2228
Stack Weights,529,https://cses.fi/problemset/task/2425
Distinct Values Queries II,527,https://cses.fi/problemset/task/3356
Missing Coin Sum Queries,523,https://cses.fi/problemset/task/2184
Distinct Routes II,519,https://cses.fi/problemset/task/2130
Hidden Permutation,496,https://cses.fi/problemset/task/3139
Food Division,485,https://cses.fi/problemset/task/1189
Permutation Rounds,472,https://cses.fi/problemset/task/3398
String Transform,471,https://cses.fi/problemset/task/1113
Grid Puzzle I,466,https://cses.fi/problemset/task/2432
Programmers and Artists,465,https://cses.fi/problemset/task/2426
Permutation Order,460,https://cses.fi/problemset/task/3397
Maximum Xor Subset,442,https://cses.fi/problemset/task/3191
Flight Route Requests,424,https://cses.fi/problemset/task/1699
List of Sums,423,https://cses.fi/problemset/task/2414
Grid Puzzle II,412,https://cses.fi/problemset/task/2131
Maximum Building II,397,https://cses.fi/problemset/task/1148
Number of Subset Xors,393,https://cses.fi/problemset/task/3211
Inversion Probability,385,https://cses.fi/problemset/task/1728
Swap Round Sorting,384,https://cses.fi/problemset/task/1698
Creating Offices,375,https://cses.fi/problemset/task/1752
Critical Cities,372,https://cses.fi/problemset/task/1703
Nearest Shops,365,https://cses.fi/problemset/task/3303
Sum of Four Squares,361,https://cses.fi/problemset/task/3355
Counting Bishops,347,https://cses.fi/problemset/task/2176
Bit Substrings,336,https://cses.fi/problemset/task/2115
All Palindromes,333,https://cses.fi/problemset/task/3138
Distinct Values Sum,324,https://cses.fi/problemset/task/3150
All Manhattan Distances,319,https://cses.fi/problemset/task/3411
Reversal Sorting,316,https://cses.fi/problemset/task/2075
Maximum Manhattan Distances,311,https://cses.fi/problemset/task/3410
Triangle Number Sums,303,https://cses.fi/problemset/task/3406
Coin Arrangement,288,https://cses.fi/problemset/task/2180
Permuted Binary Strings,281,https://cses.fi/problemset/task/3228
Robot Path,280,https://cses.fi/problemset/task/1742
MST Edge Check,280,https://cses.fi/problemset/task/3407
New Flight Routes,279,https://cses.fi/problemset/task/1685
Filled Subgrid Count I,274,https://cses.fi/problemset/task/3413
Binary Subsequences,259,https://cses.fi/problemset/task/2430
Colored Chairs,236,https://cses.fi/problemset/task/3273
System of Linear Equations,230,https://cses.fi/problemset/task/3154
Distinct Values Splits,228,https://cses.fi/problemset/task/3190
Filling Trominos,217,https://cses.fi/problemset/task/2423
GCD Subsets,216,https://cses.fi/problemset/task/3161
Transfer Speeds Sum,214,https://cses.fi/problemset/task/3111
Functional Graph Distribution,214,https://cses.fi/problemset/task/2415
Permutation Prime Sums,203,https://cses.fi/problemset/task/3423
MST Edge Cost,203,https://cses.fi/problemset/task/3409
And Subset Count,202,https://cses.fi/problemset/task/3141
Counting Reorders,202,https://cses.fi/problemset/task/2421
Fixed Length Walk Queries,200,https://cses.fi/problemset/task/3357
Third Permutation,199,https://cses.fi/problemset/task/3422
Corner Subgrid Check,198,https://cses.fi/problemset/task/3360
K-th Highest Score,197,https://cses.fi/problemset/task/3305
K Subset Xors,196,https://cses.fi/problemset/task/3192
Grid Completion,196,https://cses.fi/problemset/task/2429
Lines and Queries I,192,https://cses.fi/problemset/task/3429
Removing Digits II,191,https://cses.fi/problemset/task/2174
Line Segments Trace I,181,https://cses.fi/problemset/task/3427
Letter Pair Move Game,176,https://cses.fi/problemset/task/2427
Tree Coin Collecting I,168,https://cses.fi/problemset/task/3114
Bubble Sort Rounds I,168,https://cses.fi/problemset/task/3151
Xor Pyramid Diagonal,166,https://cses.fi/problemset/task/3194
Lines and Queries II,163,https://cses.fi/problemset/task/3430
All Subarray Xors,150,https://cses.fi/problemset/task/3233
Two Stacks Sorting,149,https://cses.fi/problemset/task/2402
Inversion Sorting,143,https://cses.fi/problemset/task/3140
Bus Companies,141,https://cses.fi/problemset/task/3158
Filled Subgrid Count II,141,https://cses.fi/problemset/task/3414
Line Segments Trace II,139,https://cses.fi/problemset/task/3428
Xor Pyramid Row,139,https://cses.fi/problemset/task/3195
Counting LCM Arrays,139,https://cses.fi/problemset/task/3169
Beautiful Permutation II,136,https://cses.fi/problemset/task/3175
Inverse Suffix Array,123,https://cses.fi/problemset/task/3225
MST Edge Set Check,122,https://cses.fi/problemset/task/3408
Permutation Subsequence,122,https://cses.fi/problemset/task/3404
Bouncing Ball Steps,117,https://cses.fi/problemset/task/3215
Square Subsets,115,https://cses.fi/problemset/task/3193
Graph Coloring,112,https://cses.fi/problemset/task/3308
Sliding Window Advertisement,111,https://cses.fi/problemset/task/3227
Grid Path Construction,109,https://cses.fi/problemset/task/2418
Water Containers Queries,103,https://cses.fi/problemset/task/3214
Subsets with Fixed Average,102,https://cses.fi/problemset/task/3302
Subarray Sum Constraints,99,https://cses.fi/problemset/task/3294
Two Array Average,94,https://cses.fi/problemset/task/3361
Tree Coin Collecting II,91,https://cses.fi/problemset/task/3149
Bubble Sort Rounds II,84,https://cses.fi/problemset/task/3152
Nearest Campsites I,83,https://cses.fi/problemset/task/3306
K Subset Sums I,83,https://cses.fi/problemset/task/3108
Nearest Campsites II,79,https://cses.fi/problemset/task/3307
Water Containers Moves,79,https://cses.fi/problemset/task/3213
Maximum Average Subarrays,75,https://cses.fi/problemset/task/3301
Grid Coloring II,75,https://cses.fi/problemset/task/3312
Knight Moves Queries,73,https://cses.fi/problemset/task/3218
All Letter Subgrid Count I,69,https://cses.fi/problemset/task/3415
Distinct Sums Grid,60,https://cses.fi/problemset/task/3424
Same Sum Subsets,60,https://cses.fi/problemset/task/3425
All Letter Subgrid Count II,59,https://cses.fi/problemset/task/3416
Border Subgrid Count II,59,https://cses.fi/problemset/task/3418
Tournament Graph Distribution,59,https://cses.fi/problemset/task/3232
Replace with Difference,59,https://cses.fi/problemset/task/3159
Raab Game II,55,https://cses.fi/problemset/task/3400
Split into Two Paths,53,https://cses.fi/problemset/task/3358
Border Subgrid Count I,52,https://cses.fi/problemset/task/3417
Minimum Cost Pairs,50,https://cses.fi/problemset/task/3402
K Subset Sums II,47,https://cses.fi/problemset/task/3109
Bouncing Ball Cycle,46,https://cses.fi/problemset/task/3216
Stick Difference,18,https://cses.fi/problemset/task/3401
